text,label
"Great service, very satisfied",positive
"Very helpful and friendly support",positive
"Fast response and solution provided",positive
"App is easy to use and reliable",positive
"Thanks for resolving my issue quickly",positive
"Excellent product and service",positive
"Customer support was amazing",positive
"I appreciate the fast turnaround",positive
"Everything worked as expected",positive
"Great experience overall",positive
"Super friendly staff",positive
"Love how simple this is to use",positive
"Works perfectly, no complaints",positive
"Top-notch service, thank you",positive
"Very impressed with the support team",positive
"Efficient and easy process",positive
"Helped me out right away",positive
"Really quick to solve my problem",positive
"Impressed with how seamless it was",positive
"I’m a happy customer",positive
"Everything was resolved promptly",positive
"Clear and concise communication",positive
"Awesome interaction!",positive
"Helpful agent, smooth experience",positive
"Resolved my concern in minutes",positive
"Terrible response time",negative
"Very rude customer support",negative
"Won’t be coming back",negative
"Didn’t solve anything",negative
"Still waiting for a reply",negative
"Support team was clueless",negative
"Extremely slow service",negative
"Agent was unprofessional",negative
"Didn’t care about my issue",negative
"I was put on hold forever",negative
"The app keeps crashing",negative
"No one responded to my query",negative
"I had a horrible experience",negative
"Very disappointed in the service",negative
"My issue is still unresolved",negative
"Customer support ignored me",negative
"I regret using this service",negative
"Live chat didn’t help",negative
"The solution made no sense",negative
"Process was frustrating",negative
"Too many bugs in the app",negative
"Agent hung up on me",negative
"Had to repeat myself multiple times",negative
"Still no resolution after days",negative
"Completely unhelpful",negative
"I asked for help, they ghosted me like Ben Simmons in the 4th",negative
"Support slower than a J. Cole beat drop",negative
"Customer service fumbled harder than Ja Morant's IG live",negative
"Felt like Kendrick dropped 'Control' on my whole experience",negative
"Agent talked more than Drake in an intro but did less",negative
"Zero help, just vibes and elevator music",negative
"Support team was ducking me like Playboi Carti drops",negative
"Put me on hold longer than Detox was delayed",negative
"This app buggy like 2000s mixtape skits",negative
"Whole process felt like a Shaq free throw contest",negative
"Customer support was MJ in '95 — legendary",positive
"Quick assist like CP3 in his prime",positive
"Resolved it faster than Eminem’s verse on Rap God",positive
"Steph Curry couldn't shoot a better solution",positive
"Felt like I just won the chip — 5 stars",positive
"They handled it smoother than a Travis Scott transition",positive
"Support so clean it could feature on a Nas track",positive
"Felt like Dame time — clutch and timely",positive
"Replied quicker than Metro drops a beat",positive
"Shoutout to support for the all-star experience",positive